No.	X	Y	Z
	 67	 400	 163
	 87	-26	 572
	-2	 0	 164
	 213	-267	 108
	 426	 30	 338
	 4	-394	 684
	 126	-46	-571
	 24	 470	 509
	 42	-63	 726
	-19	-195	 283
	 79	-122	 501
	-72	-168	-581
	 55	 393	 144
	 104	-25	 553
	-4	 4	 164
	 218	-263	 109
	 434	 21	 349
	-1	-399	 680
	 143	-42	-586
	 18	 468	 488
	 50	-61	 740
	-13	-184	 303
	 94	-119	 483
	-72	-163	-577
	 64	 395	 144
	 99	-22	 567
	 9	 9	 155
	 229	-273	 126
	 433	 23	 350
	 1	-395	 685
	 138	-42	-578
	 12	 465	 481
	 45	-47	 730
	-17	-182	 303
	 90	-121	 483
	-66	-173	-564
	 64	 405	 145
	 113	-24	 556
	-11	 11	 162
	 223	-264	 116
	 421	 27	 365
	 0	-401	 679
	 141	-42	-589
	 13	 476	 494
	 47	-54	 736
	-13	-179	 315
	 87	-124	 489
	-61	-159	-573
	 63	 417	 169
	 93	-18	 576
	-3	 2	 152
	 213	-275	 104
	 424	 32	 365
	-10	-405	 687
	 128	-31	-573
	 15	 478	 499
	 61	-64	 742
	-17	-182	 298
	 78	-124	 489
	-56	-172	-577
	 63	 403	 147
	 90	-31	 548
	 0	-1	 167
	 220	-258	 134
	 431	 35	 354
	-1	-403	 678
	 126	-47	-571
	 4	 463	 496
	 53	-58	 737
	-22	-193	 303
	 87	-119	 480
	-59	-178	-579
	 63	 393	 163
	 100	-28	 558
	-8	-4	 156
	 225	-270	 127
	 426	 22	 368
	-8	-395	 680
	 137	-49	-569
	 7	 480	 497
	 46	-54	 748
	-11	-192	 308
	 80	-119	 485
	-59	-179	-571
	 50	 408	 155
	 102	-31	 553
	-7	 2	 163
	 222	-275	 110
	 435	 23	 353
	-4	-403	 678
	 131	-38	-561
	 22	 472	 482
	 53	-67	 742
	-9	-181	 292
	 90	-125	 496
	-60	-166	-568
	 62	 410	 142
	 98	-21	 577
	-1	-3	 144
	 229	-266	 120
	 431	 17	 345
	-6	-398	 688
	 132	-46	-576
	 7	 468	 508
	 47	-54	 717
	-6	-186	 290
	 75	-112	 483
	-56	-161	-575
	 67	 399	 161
	 102	-20	 582
	-4	-2	 154
	 217	-268	 107
	 427	 30	 350
	-6	-399	 689
	 144	-56	-564
	 8	 475	 489
	 54	-52	 742
	-6	-184	 307
	 94	-117	 485
	-77	-170	-578
	 54	 405	 151
	 98	-25	 550
	-1	 0	 153
	 219	-274	 119
	 432	 22	 350
	 0	-403	 686
	 132	-52	-564
	 17	 473	 497
	 39	-60	 753
	-11	-185	 310
	 85	-118	 475
	-76	-166	-575
	 53	 407	 150
	 96	-14	 567
	-4	 0	 161
	 216	-264	 123
	 428	 33	 354
	-12	-406	 684
	 130	-40	-577
	 10	 464	 500
	 42	-61	 745
	-24	-189	 302
	 84	-112	 499
	-58	-160	-583
	 61	 401	 119
	 101	-16	 550
	 0	-1	 150
	 223	-276	 117
	 434	 21	 351
	 4	-397	 668
	 138	-48	-588
	 2	 474	 497
	 58	-69	 725
	-10	-189	 306
	 95	-115	 488
	-75	-167	-578
	 63	 404	 166
	 98	-31	 561
	 0	-1	 134
	 223	-262	 126
	 424	 25	 346
	 8	-399	 676
	 132	-31	-573
	 13	 478	 503
	 47	-60	 741
	-5	-190	 295
	 86	-105	 507
	-62	-173	-583
	 54	 398	 135
	 100	-34	 573
	 0	 4	 171
	 227	-270	 120
	 431	 24	 351
	-5	-406	 677
	 131	-42	-573
	 10	 472	 505
	 47	-53	 742
	-12	-187	 298
	 91	-112	 478
	-62	-179	-573
	 52	 398	 140
	 114	-21	 564
	 6	 3	 149
	 225	-256	 124
	 434	 43	 352
	 1	-402	 699
	 134	-48	-581
	 18	 479	 498
	 48	-58	 729
	-15	-183	 296
	 82	-105	 494
	-61	-170	-577
	 58	 403	 141
	 94	-19	 565
	-6	 0	 162
	 222	-261	 127
	 434	 32	 355
	-7	-397	 681
	 137	-46	-578
	 17	 461	 493
	 50	-57	 749
	-15	-187	 297
	 87	-122	 477
	-62	-173	-578
	 67	 402	 152
	 95	-21	 572
	 0	 5	 152
	 226	-263	 119
	 431	 34	 353
	-3	-397	 675
	 118	-41	-573
	 7	 472	 510
	 58	-57	 751
	-10	-200	 319
	 79	-113	 478
	-75	-174	-568
	 51	 401	 154
	 102	-26	 576
	-3	 3	 141
	 221	-258	 119
	 425	 34	 367
	-8	-399	 676
	 138	-48	-594
	 7	 477	 498
	 57	-54	 737
	-21	-190	 307
	 83	-113	 484
	-56	-174	-576
	 61	 398	 150
	 96	-22	 565
	-10	 8	 155
	 226	-267	 121
	 430	 27	 378
	 5	-395	 679
	 139	-46	-571
	 4	 476	 498
	 48	-68	 723
	-6	-173	 295
	 85	-121	 473
	-68	-173	-556
	 58	 407	 147
	 100	-25	 584
	 0	 5	 150
	 224	-252	 118
	 438	 29	 361
	 1	-408	 681
	 131	-52	-573
	 8	 465	 478
	 53	-57	 737
	-6	-193	 298
	 86	-115	 493
	-68	-178	-577
	 69	 409	 158
	 102	-35	 570
	-3	-6	 162
	 237	-263	 110
	 436	 18	 360
	 0	-405	 685
	 137	-39	-559
	 16	 473	 495
	 47	-53	 743
	-16	-183	 297
	 80	-125	 494
	-71	-154	-559
	 61	 402	 148
	 89	-15	 556
	 6	 2	 128
	 215	-271	 109
	 434	 29	 357
	-7	-397	 685
	 131	-52	-566
	 11	 463	 491
	 43	-56	 761
	-20	-188	 305
	 95	-125	 483
	-74	-166	-578
	 60	 403	 142
	 100	-25	 574
	-9	 11	 170
	 232	-270	 105
	 432	 32	 361
	-10	-389	 661
	 129	-58	-578
	 14	 467	 484
	 59	-52	 735
	-13	-185	 298
	 87	-110	 475
	-66	-170	-575
	 68	 409	 157
	 101	-24	 580
	-8	 2	 167
	 221	-266	 108
	 419	 30	 342
	-24	-404	 668
	 128	-46	-578
	 11	 464	 485
	 53	-57	 728
	-10	-184	 298
	 75	-115	 480
	-69	-174	-583
	 56	 400	 136
	 90	-15	 569
	-3	 9	 155
	 224	-258	 114
	 433	 33	 343
	-6	-395	 673
	 138	-40	-575
	 10	 464	 503
	 49	-56	 727
	-11	-199	 298
	 88	-118	 506
	-58	-160	-584
	 59	 401	 142
	 93	-26	 563
	-7	 4	 161
	 224	-265	 136
	 439	 23	 344
	-7	-406	 676
	 126	-47	-582
	 7	 466	 506
	 30	-59	 743
	-10	-188	 300
	 85	-107	 495
	-65	-155	-571
	 71	 407	 139
	 93	-16	 573
	 4	 0	 158
	 230	-250	 113
	 426	 29	 348
	-7	-399	 697
	 130	-47	-584
	 12	 467	 486
	 49	-57	 738
	-18	-181	 301
	 84	-114	 486
	-63	-161	-567
	 66	 397	 164
	 95	-22	 572
	-1	-3	 146
	 224	-270	 129
	 435	 33	 333
	-7	-395	 680
	 131	-48	-582
	 7	 471	 491
	 64	-69	 748
	-13	-185	 298
	 78	-113	 485
	-68	-167	-576
	 64	 399	 142
	 105	-29	 585
	-5	 1	 157
	 217	-275	 118
	 430	 25	 363
	-14	-399	 677
	 133	-42	-573
	 17	 478	 503
	 43	-60	 742
	-1	-181	 303
	 78	-115	 490
	-59	-168	-559
	 63	 410	 157
	 96	-26	 581
	-3	-6	 163
	 231	-267	 117
	 436	 25	 367
	-5	-407	 681
	 133	-41	-577
	 14	 465	 496
	 52	-62	 723
	-12	-193	 313
	 78	-114	 485
	-65	-177	-567
	 63	 401	 139
	 102	-25	 553
	-9	 0	 146
	 218	-258	 123
	 443	 32	 351
	 11	-400	 682
	 123	-47	-585
	 16	 472	 501
	 46	-59	 738
	-16	-189	 291
	 86	-112	 489
	-60	-164	-585
	 69	 410	 140
	 105	-20	 566
	-10	 3	 149
	 217	-266	 117
	 424	 37	 349
	-2	-399	 679
	 143	-43	-578
	 18	 455	 501
	 50	-59	 739
	-14	-190	 315
	 79	-108	 501
	-56	-172	-592
	 63	 397	 147
	 102	-23	 551
	 10	 0	 164
	 223	-264	 125
	 432	 24	 359
	-3	-392	 687
	 137	-42	-583
	 18	 481	 512
	 54	-60	 744
	-17	-200	 321
	 87	-124	 476
	-64	-165	-593
	 60	 403	 142
	 101	-23	 561
	 0	-2	 166
	 222	-265	 117
	 426	 26	 343
	-6	-399	 680
	 133	-36	-580
	 9	 474	 498
	 57	-56	 743
	-17	-190	 298
	 76	-114	 504
	-71	-174	-581
	 68	 401	 151
	 97	-14	 561
	 1	 12	 162
	 232	-267	 115
	 423	 25	 379
	-12	-393	 690
	 129	-42	-584
	 9	 483	 481
	 50	-47	 734
	 0	-194	 308
	 85	-123	 491
	-70	-168	-574
	 64	 397	 161
	 111	-22	 583
	 3	 6	 154
	 215	-261	 119
	 424	 25	 337
	-6	-398	 676
	 132	-47	-567
	 14	 458	 495
	 45	-61	 734
	-18	-188	 299
	 86	-110	 500
	-60	-160	-561
	 57	 406	 149
	 103	-25	 575
	 0	 6	 166
	 215	-274	 123
	 430	 24	 352
	-3	-395	 684
	 130	-51	-579
	 13	 473	 502
	 49	-67	 762
	-19	-195	 297
	 78	-123	 486
	-66	-175	-571
	 62	 402	 154
	 101	-23	 564
	-10	 13	 152
	 228	-268	 117
	 439	 25	 349
	-7	-397	 707
	 131	-49	-563
	 3	 463	 497
	 47	-52	 738
	-20	-184	 306
	 74	-114	 489
	-54	-170	-579
	 60	 402	 154
	 98	-14	 564
	-6	-6	 158
	 227	-266	 117
	 426	 32	 368
	-8	-394	 695
	 136	-44	-569
	 17	 482	 500
	 58	-59	 751
	-7	-198	 317
	 85	-104	 491
	-70	-172	-571
	 60	 408	 149
	 95	-17	 579
	-5	-4	 154
	 215	-254	 116
	 439	 22	 363
	 0	-398	 688
	 138	-44	-585
	 7	 463	 496
	 50	-64	 730
	-7	-188	 311
	 89	-124	 484
	-59	-170	-560
	 64	 409	 151
	 91	-21	 570
	-15	-6	 153
	 215	-270	 128
	 438	 40	 352
	 0	-392	 672
	 135	-41	-576
	 13	 484	 491
	 54	-66	 739
	-16	-187	 308
	 83	-113	 486
	-59	-166	-587
	 72	 412	 140
	 93	-23	 563
	 4	 0	 143
	 222	-261	 115
	 425	 27	 351
	-1	-397	 680
	 132	-47	-584
	 7	 462	 498
	 49	-57	 732
	-18	-187	 314
	 93	-113	 494
	-53	-169	-580
	 65	 411	 149
	 96	-29	 562
	-3	-3	 162
	 225	-256	 113
	 425	 40	 348
	-10	-385	 672
	 137	-37	-580
	 6	 473	 514
	 46	-56	 745
	-14	-187	 296
	 94	-112	 485
	-65	-177	-573
	 63	 395	 132
	 94	-25	 556
	-2	 9	 164
	 227	-260	 126
	 434	 35	 359
	-7	-405	 673
	 130	-44	-588
	 17	 463	 509
	 51	-60	 723
	-13	-189	 311
	 104	-113	 491
	-58	-170	-581
	 64	 403	 156
	 98	-14	 572
	-16	 0	 142
	 230	-266	 127
	 436	 18	 346
	-7	-382	 692
	 138	-51	-591
	 9	 468	 491
	 45	-58	 734
	-8	-186	 292
	 75	-111	 494
	-69	-172	-575
	 64	 406	 151
	 92	-21	 576
	 4	 0	 156
	 218	-271	 115
	 426	 31	 343
	-5	-400	 685
	 128	-49	-586
	 8	 478	 492
	 52	-65	 743
	-15	-192	 301
	 94	-113	 488
	-66	-161	-570
	 69	 398	 163
	 96	-21	 580
	-6	 12	 164
	 213	-264	 129
	 427	 26	 356
	-4	-394	 677
	 136	-46	-580
	 0	 473	 493
	 56	-58	 743
	-16	-188	 305
	 75	-109	 478
	-63	-153	-570
	 64	 408	 149
	 94	-21	 563
	 3	 6	 155
	 223	-259	 104
	 442	 24	 351
	-1	-397	 680
	 139	-43	-567
	 16	 462	 488
	 55	-71	 746
	-13	-181	 290
	 81	-124	 493
	-71	-163	-574
	 69	 400	 142
	 92	-31	 570
	 0	 7	 144
	 233	-263	 96
	 429	 26	 351
	-3	-397	 673
	 132	-54	-571
	 8	 483	 473
	 59	-51	 749
	-17	-177	 292
	 79	-115	 466
	-57	-171	-575
	 68	 397	 154
	 98	-20	 551
	 11	 0	 167
	 227	-262	 122
	 437	 28	 365
	 1	-393	 692
	 140	-41	-564
	 14	 461	 497
	 54	-56	 724
	-8	-189	 301
	 83	-114	 501
	-63	-166	-591
	 62	 408	 141
	 104	-28	 554
	-12	 4	 165
	 227	-276	 113
	 425	 17	 342
	-7	-405	 673
	 125	-46	-571
	 6	 476	 499
	 48	-54	 736
	-6	-185	 294
	 85	-115	 487
	-58	-173	-576
	 63	 403	 149
	 95	-24	 568
	-4	 5	 136
	 227	-269	 122
	 431	 39	 349
	-9	-396	 668
	 129	-54	-580
	 11	 468	 504
	 53	-56	 750
	-9	-189	 307
	 81	-113	 480
	-68	-174	-579
	 61	 388	 161
	 95	-35	 565
	-8	 1	 168
	 219	-271	 129
	 429	 28	 355
	-1	-397	 682
	 137	-38	-575
	 9	 467	 477
	 50	-55	 732
	-3	-185	 302
	 87	-116	 491
	-60	-169	-559
	 63	 406	 157
	 97	-23	 583
	 3	 6	 190
	 210	-262	 134
	 426	 23	 359
	-5	-394	 681
	 134	-48	-570
	 9	 465	 508
	 51	-52	 743
	-14	-179	 303
	 73	-112	 485
	-61	-170	-575
	 58	 396	 150
	 100	-9	 571
	-2	 3	 155
	 226	-272	 125
	 429	 22	 351
	 5	-404	 678
	 134	-46	-567
	 5	 464	 488
	 57	-64	 731
	-11	-184	 307
	 88	-119	 474
	-74	-172	-556
	 55	 408	 147
	 94	-15	 564
	 3	 0	 157
	 230	-268	 111
	 440	 27	 359
	-7	-402	 678
	 126	-52	-585
	 10	 464	 493
	 60	-65	 725
	-24	-190	 304
	 87	-112	 502
	-63	-168	-582
	 68	 395	 142
	 101	-25	 554
	-3	 14	 162
	 235	-264	 118
	 426	 29	 355
	-16	-394	 673
	 127	-53	-591
	 14	 476	 494
	 48	-54	 739
	-11	-189	 296
	 84	-116	 485
	-63	-170	-580
	 64	 394	 141
	 102	-19	 565
	-1	 0	 171
	 217	-262	 123
	 432	 35	 376
	 3	-396	 689
	 127	-47	-575
